,open,high,low,close,volume,ema20,ema50,ema200,rsi,atr,macd,macd_signal,macd_hist
2025-04-09 23:42:54.703788,1.1002483570765058,1.10055628478052,1.100099784318951,1.1002483570765058,537,1.1002483570765058,1.1002483570765058,1.1002483570765058,100.0,0.0,0.0,0.0,0.0
2025-04-10 00:42:54.703788,1.1011775590923885,1.1013811962647893,1.101145730948976,1.1011775590923885,831,1.1003368525065897,1.1002847963712463,1.1002576028677087,100.0,0.0,7.412437733522736e-05,1.4824875467045474e-05,5.929950186818189e-05
2025-04-10 01:42:54.703788,1.102489762502921,1.1025029108773952,1.10231503553282,1.102489762502921,989,1.1005418915538594,1.100371265631312,1.1002798134113427,100.0,0.0,0.00023603150483597624,5.9066201340831634e-05,0.0001769653034951446
2025-04-10 02:42:54.703788,1.104219786189788,1.1043626582678592,1.1041517747469054,1.104219786189788,705,1.1008921672334717,1.1005221880061542,1.1003190171205812,100.0,0.0,0.0004981995882424872,0.00014689287872116276,0.00035130670952132447
2025-04-10 03:42:54.703788,1.1050416908588994,1.105196004033114,1.104623186228218,1.1050416908588994,556,1.101287359959703,1.1006994234121443,1.1003660088990719,100.0,0.0,0.0007634894894359423,0.00027021220086411867,0.0004932772885718236
2025-04-10 04:42:54.703788,1.1058246943433803,1.1059117195145927,1.105777521253628,1.1058246943433803,714,1.1017194870438627,1.1009004144290557,1.1004203241771247,100.0,0.0,0.0010250987841253778,0.0004211895175163705,0.0006039092666090074
2025-04-10 05:42:54.703788,1.1074664700990422,1.1076647493941303,1.1074662030943334,1.1074664700990422,834,1.1022668187634035,1.1011579068082709,1.1004904350818203,100.0,0.0,0.0013493491603688845,0.0006068214460868734,0.0007425277142820111
2025-04-10 06:42:54.703788,1.1086459396020452,1.108786775729822,1.1084647672034194,1.1086459396020452,797,1.1028743540813695,1.1014515551531248,1.100571584380529,100.0,0.0,0.0016821030148124194,0.0008218777598319826,0.0008602252549804368
2025-04-10 07:42:54.703788,1.109142586445696,1.1093754071683524,1.1089963469565385,1.109142586445696,795,1.1034713285922577,1.1017531642234217,1.1006568679831674,100.0,0.0,0.0019632568881311485,0.001050153585491816,0.0009131033026393326
2025-04-10 08:42:54.703788,1.1100735746547687,1.1101924047476843,1.1098654202879359,1.1100735746547687,594,1.1041001139315445,1.1020794548285728,1.1007505665570143,100.0,0.0,0.0022354277071174877,0.0012872084098169503,0.0009482192973005374
2025-04-10 09:42:54.703788,1.1104233065601665,1.1107158795750474,1.1100662921721494,1.1104233065601665,773,1.104702322753318,1.1024066647004,1.1008468127261999,100.0,0.0,0.0024510908345931615,0.0015199848947721926,0.0009311059398209689
2025-04-10 10:42:54.703788,1.1106878054359168,1.1107316997301748,1.1105183756138253,1.1106878054359168,346,1.1052723687230892,1.1027314153174792,1.1009447330516697,100.0,0.0,0.0026132246386911806,0.0017386328435559902,0.0008745917951351904
2025-04-10 11:42:54.703788,1.1112171038307577,1.111678316906072,1.1110461670038847,1.1112171038307577,642,1.1058385339714387,1.1030641874160392,1.1010469456962377,100.0,0.0,0.002752695443898334,0.001941445363624459,0.0008112500802738751
2025-04-10 12:42:54.703788,1.1105756547029286,1.1107287337453862,1.1103668880025543,1.1105756547029286,663,1.1062896883268187,1.1033587547606232,1.10114175872118,90.9029516493295,0.001026584865707598,0.002779427962636749,0.0021090418834269174,0.0006703860792098316
2025-04-10 13:42:54.703788,1.1099321112323848,1.110317471626199,1.1097479790798808,1.1099321112323848,956,1.1066365857463965,1.1036165334457904,1.1012292249153213,82.7678577469985,0.0010123770626604739,0.0027173610498938405,0.002230705716720302,0.00048665533317353857
2025-04-10 14:42:54.703788,1.1097714200339204,1.109815347180161,1.1097283994920673,1.1097714200339204,687,1.1069351413928274,1.1038579015472858,1.1013142218816756,80.82286620208252,0.0009546152539216917,0.002624947378210507,0.0023095540490183433,0.00031539332919216373
2025-04-10 15:42:54.703788,1.1092857906381275,1.1094303123851625,1.1092271061271517,1.1092857906381275,996,1.1071590127495226,1.104070759943005,1.1013935409737796,75.08062485120357,0.0009253080148393337,0.002483889907247905,0.0023444212206642557,0.0001394686865836491
2025-04-10 16:42:54.703788,1.1093638263785348,1.109471187466614,1.108919223894512,1.1093638263785348,538,1.1073689949999046,1.104278331175771,1.101472847296215,75.38328177980851,0.0008986405546438153,0.002351293430289614,0.0023457956625893275,5.497767700286295e-06
2025-04-10 17:42:54.703788,1.1087316425450315,1.1088026783844716,1.1085907409297642,1.1087316425450315,377,1.1074987709565833,1.1044529708373105,1.1015450741146111,68.16085698820254,0.0008896723327957313,0.002170181315694908,0.0023106727932104437,-0.00014049147751553576
2025-04-10 18:42:54.703788,1.107750015262456,1.107843989229176,1.1074754575612933,1.107750015262456,651,1.107522698985714,1.1045822666971201,1.10160681482255,58.748606518310574,0.0009158518078630541,0.0019252464989185647,0.0022335875343520682,-0.0003083410354335035
2025-04-10 19:42:54.703788,1.1081128130382993,1.1082286851789802,1.108099530615196,1.1081128130382993,712,1.1075789003240557,1.1047207194948134,1.1016715511232043,60.89773803657926,0.0008846245299102811,0.0017403470035182167,0.0021349394281852977,-0.00039459242466708105
2025-04-10 20:42:54.703788,1.107539044286288,1.107666123317102,1.1074776031285334,1.107539044286288,210,1.107575104510935,1.1048312420356554,1.1017299341397524,55.93454214015636,0.0008668091998999721,0.0015298789855537898,0.0020139273396589962,-0.00048404835410520647
2025-04-10 21:42:54.703788,1.1070256787603392,1.107031070992145,1.1067244219592154,1.1070256787603392,484,1.1075227782489736,1.1049172983778,1.1017826281160767,51.86183982962294,0.0008630815661265907,0.0013065956362403597,0.001872460998975269,-0.0005658653627349094
